major,min_semester,max_semester,course_code,required
IE,1,1,ECON101,TRUE
IE,1,1,COMPSCI220,TRUE
IE,2,2,ISYE191,TRUE
IE,2,2,PHYSICS201,TRUE
IE,3,3,ISYE313,TRUE
IE,4,4,ISYE315,TRUE
IE,4,4,ISYE348,TRUE
IE,4,4,ISYE349,TRUE
IE,4,4,MATH340,TRUE
IE,4,4,ISYE210,TRUE
IE,5,5,ISYE312,TRUE
IE,5,5,ISYE323,TRUE
IE,5,5,STAT311,TRUE
IE,6,6,ISYE320,TRUE
IE,6,6,ISYE321,TRUE
IE,6,6,ISYE350,TRUE
IE,6,6,INTEREGR397,TRUE
IE,8,8,ISYE450,TRUE
BME,1,2,INTEREGR170,TRUE
BME,2,2,EMA201,TRUE
BME,2,2,CHEM343,TRUE
BME,3,3,BME200,TRUE
BME,3,3,PHYSICS202,TRUE
BME,3,3,BME325,TRUE
BME,4,4,BME201,TRUE
BME,4,4,MATH320,TRUE
BME,4,4,EMA303,TRUE
BME,4,4,BME310,TRUE
BME,5,5,BME300,TRUE
BME,5,5,BME315,TRUE
BME,6,6,BME301,TRUE
BME,6,6,BME430,TRUE
BME,7,7,BME400,TRUE
BME,8,8,BME402,TRUE
CHEME,1,1,CBE150,TRUE
CHEME,2,2,CHEM329,TRUE
CHEME,2,2,PHYSICS201,TRUE
CHEME,3,3,CBE250,TRUE
CHEME,3,3,CHEM343,TRUE
CHEME,3,3,PHYSICS202,TRUE
CHEME,3,3,ZOOLOGY153,TRUE
CHEME,4,4,CBE255,TRUE
CHEME,4,4,MATH320,TRUE
CHEME,4,4,CBE310,TRUE
CHEME,4,4,CHEM345,TRUE
CHEME,4,4,CHEM344,TRUE
CHEME,5,5,CBE311,TRUE
CHEME,5,5,CBE320,TRUE
CHEME,5,5,CBE355,TRUE
CHEME,6,6,CBE326,TRUE
CHEME,6,6,CBE324,TRUE
CHEME,6,6,INTEREGR397,TRUE
CHEME,7,7,CBE426,TRUE
CHEME,7,7,CBE430,TRUE
CHEME,8,8,CBE450,TRUE
CHEME,8,8,CBE470,TRUE
CIVIL,1,2,INTEREGR170,TRUE
CIVIL,2,2,EMA201,TRUE
CIVIL,2,2,CIVENGR159,TRUE
CIVIL,3,3,EMA202,TRUE
CIVIL,3,3,CIVENGR320,TRUE
CIVIL,3,3,STAT324,TRUE
CIVIL,3,3,MATH320,TRUE
